Name,Val,Emotion
花,0.09523809523809523,0.5872510671615601
云,0.047619047619047616,0.5471482495001206
春,0.047619047619047616,-1
日,0.047619047619047616,0.7363291382789612
月,0.09523809523809523,0.7560703754425049
山,0.047619047619047616,-1
风,0.047619047619047616,0.8748779694239298
君,0.38095238095238093,0.48565517300739885
天,0.09523809523809523,0.31089744220177334
水,0.047619047619047616,-1
雨,0.09523809523809523,0.8777300417423248
空,0.09523809523809523,0.9289845824241638
心,0.09523809523809523,0.13992506940849125
生,0.047619047619047616,0.8876309394836426
老,0.047619047619047616,-1
梦,0.09523809523809523,0.45771077275276184
客,0.047619047619047616,-1
寒,0.047619047619047616,-1
秋,0.09523809523809523,0.0036991892848163843
飞,0.047619047619047616,0.7560703754425049
犹,0.23809523809523808,0.31605563312768936
行,0.09523809523809523,0.8876309394836426
夜,0.047619047619047616,0.002328465459868312
莫,0.047619047619047616,-1
新,0.09523809523809523,0.5872510671615601
深,0.2857142857142857,0.3103171803522855
酒,0.047619047619047616,-1
愁,0.09523809523809523,0.002328465459868312
清,0.09523809523809523,0.8816751837730408
满,0.047619047619047616,-1
难,0.09523809523809523,0.6509456038475037
声,0.047619047619047616,0.5270776189863682
香,0.23809523809523808,0.2898313670884818
落,0.047619047619047616,0.7363291382789612
家,0.047619047619047616,0.7560703754425049
独,0.09523809523809523,0.05291184037923813
重,0.047619047619047616,0.9289845824241638
树,0.047619047619047616,-1
远,0.047619047619047616,-1
处,0.09523809523809523,0.45771077275276184
问,0.047619047619047616,-1
烟,0.047619047619047616,-1
诗,0.047619047619047616,-1
闻,0.047619047619047616,-1
高,0.047619047619047616,0.45771077275276184
雪,0.047619047619047616,-1
醉,0.047619047619047616,-1
道,0.09523809523809523,0.12946577370166779
共,0.047619047619047616,-1
书,0.047619047619047616,-1
思,0.047619047619047616,0.05291184037923813
笑,0.14285714285714285,0.5872510671615601
旧,0.047619047619047616,-1
路,0.09523809523809523,0.8816751837730408
初,0.047619047619047616,-1
留,0.047619047619047616,-1
吹,0.09523809523809523,0.7363291382789612
坐,0.047619047619047616,-1
红,0.047619047619047616,0.8816751837730408
真,0.047619047619047616,0.06588017335161567
