Name,Val,Emotion
花,0.11003165193845253,0.49645059253429574
云,0.13264540680974074,0.5368305352838381
春,0.09863329491190516,0.4741501312907977
日,0.1381707741002982,0.47956086955631066
月,0.1190515396015149,0.49198625644853267
山,0.09925535613004739,0.5339915096249294
风,0.10966573357483946,0.49294946067485607
君,0.12293027425581353,0.44426275339763854
天,0.08163638692207768,0.5410787436774108
水,0.09029035622152698,0.533380981970252
雨,0.0631758054777979,0.48030657378685004
空,0.10218270303895201,0.4735456063547728
心,0.10351830506613974,0.4988758503202583
生,0.09131492763964359,0.5112169267462878
老,0.052106774978502295,0.47653514752708725
梦,0.04398338730629196,0.4117052581829529
客,0.0758731726951717,0.4593677940123016
寒,0.07018314214098835,0.45148601147982503
秋,0.07148215233181478,0.458420464168082
飞,0.07920302980405072,0.5122517480591428
犹,0.06681669319574803,0.4534014344955448
行,0.09255905007592806,0.4936303682420816
夜,0.07896518286770221,0.4322047097346456
莫,0.07069542785004665,0.5539962175122698
新,0.06934152990467826,0.5309139744610569
深,0.0734581114953254,0.5226834737008096
酒,0.06194997895969409,0.48878512888931297
愁,0.06771319318660007,0.32595130307787146
清,0.06701794829573522,0.5878094846224393
满,0.07023802989553031,0.47811171265074165
难,0.0699269992864592,0.444771015498588
声,0.07038439724097553,0.492839222457665
香,0.04800848930603582,0.5827340634628962
落,0.06321239731415922,0.44870680140553965
家,0.055290264741936074,0.4908209891377451
独,0.06888413195016192,0.465805657091114
重,0.06260863201419763,0.5363205360740353
树,0.061638948350622974,0.49808369225160687
远,0.08196571344932946,0.49153915831116146
处,0.06013868305980936,0.5005498973297794
问,0.04583127504253801,0.4918444185104427
烟,0.05719304023272408,0.5314235050319132
诗,0.033024132316080285,0.5537642732973687
闻,0.08002634612218014,0.43305598795704664
高,0.062425672832391095,0.5409870907881271
雪,0.053076458642076954,0.48816192949812054
醉,0.04943557092412683,0.4951088647209954
道,0.05792487695995024,0.5470215666378894
共,0.04839270358782956,0.5022688518731808
书,0.042464826097297695,0.4728022633478948
思,0.06048630550524178,0.3735107265233836
笑,0.03038952009806612,0.5005924736000685
旧,0.047587683187880786,0.44581430062470223
路,0.06173042794152624,0.46915765542559684
初,0.055143897396490844,0.5090873404082619
留,0.03900689756115411,0.5355049894046899
吹,0.03926304041568326,0.4789552089635369
坐,0.04445908117898897,0.4905636742070763
红,0.03871416287026364,0.5262708473236561
真,0.02982234663446585,0.648303333208015
