Name,Val,Emotion
花,0.0018148820326678765,-1
云,0.11978221415607986,0.5974886033592989
春,0.009074410163339383,0.44503160947880877
日,0.18874773139745918,0.5486069562007346
月,0.07985480943738657,0.6073367837702901
山,0.06896551724137931,0.5909382114015834
风,0.05989110707803993,0.5491514442041484
君,0.132486388384755,0.6787758357100689
天,0.2159709618874773,0.640058355655187
水,0.07622504537205081,0.6337101275470922
雨,0.04900181488203267,0.6212970670540017
空,0.007259528130671506,0.815060536066691
心,0.30490018148820325,0.5767799620098858
生,0.11433756805807622,0.6689085829046755
老,0.025408348457350273,0.6943241351788553
梦,0.018148820326678767,0.7586869359016418
客,0.021778584392014518,0.5023482120304834
寒,0.019963702359346643,0.5437347029488032
秋,0.02722323049001815,0.4053352997832311
飞,0.07441016333938294,0.6323506637313702
犹,0.08348457350272233,0.5679520027292061
行,0.19782214156079855,0.645373256927411
夜,0.038112522686025406,0.5029748286915785
莫,0.17422867513611615,0.6126724556729518
新,0.029038112522686024,0.3875058060713435
深,0.021778584392014518,0.5542877180627189
酒,0.07985480943738657,0.7619854500584933
愁,0.018148820326678767,0.21215553411311702
清,0.047186932849364795,0.722136662209717
满,0.014519056261343012,0.3168937887863389
难,0.041742286751361164,0.4759187737083994
声,0.043557168784029036,0.6711812659568386
香,0.0054446460980036296,0.9445150792598724
落,0.012704174228675136,0.06878231953596696
家,0.050816696914700546,0.5645724479400087
独,0.11252268602540835,0.4670996366108334
重,0.047186932849364795,0.5194737797690323
树,0.021778584392014518,0.7143500470979647
远,0.11433756805807622,0.4762063344780472
处,0.07441016333938294,0.5636424173684645
问,0.016333938294010888,0.8810162969997951
烟,0.0054446460980036296,0.00012910569785162807
诗,0.012704174228675136,0.47428276299857924
闻,0.0544464609800363,0.6129304777973827
高,0.050816696914700546,0.5815953111384935
雪,0.019963702359346643,0.6304343557234721
醉,0.056261343012704176,0.657803179230541
道,0.07985480943738657,0.48062877138727345
共,0.032667876588021776,0.6969271239570596
书,0.009074410163339383,0.48781281849369407
思,0.22867513611615245,0.5668885626804937
笑,0.018148820326678767,0.6311497031643879
旧,0.018148820326678767,0.5609665043238137
路,0.06533575317604355,0.4967034029003749
初,0.043557168784029036,0.5402195406932151
留,0.030852994555353903,0.39456615713101606
吹,0.021778584392014518,0.5884699234738946
坐,0.010889292196007259,0.49437277515729267
红,0.003629764065335753,-1
真,0.009074410163339383,0.25250946485903114
