Name,Val,Emotion
花,0.11436954570482505,0.5500567827655563
云,0.1600442000618499,0.583989895098521
春,0.10271988776503066,0.5278401978294154
日,0.14638441985533154,0.5260858147427108
月,0.12319070139313164,0.5320068723361484
山,0.11833699152957859,0.5863871056214063
风,0.10853528839408956,0.5345920830672688
君,0.12403170939590735,0.4964805275136626
天,0.10572187148794304,0.5631845044963076
水,0.0920281492544068,0.5890643227184637
雨,0.08782688057686361,0.5232506130181274
空,0.0969346578266543,0.509104872791669
心,0.08806447476598858,0.5077724547111013
生,0.08515300311512382,0.5415421653586013
老,0.07279433394428982,0.5495784451520572
梦,0.06553074016246917,0.45261532769202395
客,0.09102120245287715,0.5044954352822357
寒,0.07687869119543819,0.4757154800423673
秋,0.07876435936309673,0.5198648361717664
飞,0.08936558580167296,0.5576447364229279
犹,0.07226634685734543,0.49304346752988143
行,0.08087253637453895,0.53474605740523
夜,0.0771879407749342,0.473689561807511
莫,0.06718635681367335,0.5784713418489094
新,0.06996583169280203,0.5776842726886204
深,0.07905852359725145,0.5548480645523973
酒,0.07725959616530521,0.5411510636675873
愁,0.06043189343712051,0.3589163686026715
清,0.07523061721690463,0.6217882273063894
满,0.06751823441118125,0.5356539792154569
难,0.061548208992374356,0.44453364160037134
声,0.060028360449241584,0.533705606362569
香,0.05028699869511763,0.6141834266609594
落,0.06297000279078889,0.5053752571468684
家,0.06304920085383055,0.5502938033998599
独,0.0708671810769428,0.5209429221375054
重,0.06619072402114966,0.5641667266164816
树,0.06908711032667315,0.5606876685988867
远,0.07331854969489889,0.5450384305633944
处,0.0419448027213963,0.5455922787724569
问,0.059236379818825,0.5346314245337707
烟,0.05921752313714842,0.5731833208118913
诗,0.04082471582980714,0.6036739159813178
闻,0.06886083014655413,0.48082902405061256
高,0.06745789302981618,0.5911016854944159
雪,0.04749243847064769,0.5307226827958219
醉,0.0522933496255063,0.5607100985616381
道,0.05124868946062348,0.5509043986654086
共,0.0601867565753249,0.5688760709048776
书,0.05314944297362327,0.5316009703710255
思,0.059108154383424226,0.40380493209391183
笑,0.04331379781111639,0.5414740927315858
旧,0.04917068313986378,0.507135233365873
路,0.0485333272991952,0.5082570190633091
初,0.05070938836467314,0.541338308752575
留,0.049099027749492756,0.5686022923273417
吹,0.0464326929604236,0.5119480990435781
坐,0.05656627369342053,0.5509963242861105
红,0.03219589829460171,0.5835215835237038
真,0.04379275752570166,0.6088861348299515
