Name,Val,Emotion
花,0.023529411764705882,0.5488878637552261
云,0.13823529411764707,0.4118629319802329
春,0.023529411764705882,0.42846892527126734
日,0.24411764705882352,0.4354178155212239
月,0.08529411764705883,0.44776190392190723
山,0.11764705882352941,0.5297186801742523
风,0.09705882352941177,0.4178713698676772
君,0.2,0.45566402052500055
天,0.18823529411764706,0.4950278208619429
水,0.06764705882352941,0.4221378068074333
雨,0.029411764705882353,0.4319045432774666
空,0.04411764705882353,0.32769105570817675
心,0.3029411764705882,0.3651835058125471
生,0.18823529411764706,0.5210931254279036
老,0.01764705882352941,0.5885095341904422
梦,0.023529411764705882,0.665588720300002
客,0.03235294117647059,0.6824936742832506
寒,0.03529411764705882,0.4217798224388389
秋,0.03235294117647059,0.3361740203690715
飞,0.08823529411764706,0.3919366698361511
犹,0.023529411764705882,0.39131300352164544
行,0.19117647058823528,0.4722038212802384
夜,0.058823529411764705,0.39293534819582765
莫,0.11176470588235295,0.30649276559173205
新,0.03823529411764706,0.5716217675110481
深,0.06470588235294118,0.41402068096067524
酒,0.026470588235294117,0.7865953868931683
愁,0.1,0.2986999149174865
清,0.05588235294117647,0.5672156488303916
满,0.014705882352941176,0.65376952663064
难,0.10588235294117647,0.45771176639578437
声,0.08823529411764706,0.46470695839314197
香,0.020588235294117647,0.5279580283554074
落,0.03529411764705882,0.5034095451542684
家,0.058823529411764705,0.3876104746052858
独,0.1264705882352941,0.2777661533428828
重,0.047058823529411764,0.5974593985872791
树,0.03235294117647059,0.3824148690572739
远,0.14705882352941177,0.30838768872382255
处,0.06470588235294118,0.33422847055512
问,0.047058823529411764,0.45196237490641317
烟,0.014705882352941176,0.6520680013511863
诗,0.03529411764705882,0.4067834641864465
闻,0.07647058823529412,0.372383053677151
高,0.09411764705882353,0.3758475561902495
雪,0.020588235294117647,0.20740629019928747
醉,0.0058823529411764705,0.5524191856384277
道,0.11470588235294117,0.4242833787196465
共,0.03529411764705882,0.41991300165500434
书,0.029411764705882353,0.5444251463661203
思,0.21764705882352942,0.2688854407246254
笑,0.014705882352941176,0.3825580941156659
旧,0.041176470588235294,0.26804225934885084
路,0.09705882352941177,0.31241604406184503
初,0.026470588235294117,0.3522666976851825
留,0.04411764705882353,0.2864369519218319
吹,0.029411764705882353,0.4399459275373374
坐,0.03823529411764706,0.559703621972585
红,0.014705882352941176,0.2987757663358934
真,0.01764705882352941,0.25816796857786056
