Name,Val,Emotion
花,0.14785368297978954,0.44606615992491877
云,0.11398029062969768,0.4785732454633393
春,0.13235343243694672,0.42281609582197516
日,0.09341907466176716,0.4144712754539136
月,0.10679806246868215,0.4317829535981863
山,0.0867880407549691,0.4981001438382543
风,0.11207616502421915,0.4427924891558593
君,0.08269584098880908,0.4088683168266043
天,0.12608986136629363,0.4386320213764591
水,0.08201102388508436,0.4904538347361195
雨,0.08934357775179556,0.4069863096736618
空,0.09094705194588275,0.3966888421007744
心,0.08403206948388174,0.393984914626112
生,0.07985635543677969,0.43803133661897037
老,0.0835476866544179,0.4524851211440455
梦,0.14636712877902122,0.36174451113269523
客,0.05749123100050109,0.41350241602259763
寒,0.080073492567229,0.3821366311716262
秋,0.08419909804576582,0.4230795565194533
飞,0.0709537330883581,0.4345248540474647
犹,0.09376983464172374,0.40511803691393433
行,0.056088191080674796,0.4463412483798444
夜,0.06450643059963254,0.36718929378848814
莫,0.06600968765658928,0.465810666256255
新,0.07302488725572073,0.4874914802151628
深,0.059111408050776686,0.4358414296458838
酒,0.07629864706864874,0.4361065607448231
愁,0.11109069650910305,0.2847614760008795
清,0.05802572239853015,0.5250726895882226
满,0.05233004843828295,0.4376716242781274
难,0.11342909637548021,0.348869811273565
声,0.06791381326206782,0.42071702399293076
香,0.06804743611157509,0.48947741840561265
落,0.04745281443126775,0.3930969466513136
家,0.052313345582094536,0.45546773841298177
独,0.05369968264573242,0.42406422334727817
重,0.07604810422582262,0.42739373195746544
树,0.049624185735760815,0.46783329913278526
远,0.054785368297978955,0.43278987505681993
处,0.05749123100050109,0.42664417468977706
问,0.07016869884750292,0.4176123724059743
烟,0.062385167863704696,0.4524712365329749
诗,0.06360447636545849,0.5372934172011004
闻,0.04835476866544179,0.3888613969964082
高,0.04209119759478871,0.4962294828390243
雪,0.041205946216803076,0.44702429390659554
醉,0.05334892266577585,0.4420291418795418
道,0.042625688992817774,0.4428914436583199
共,0.05740771671955904,0.44872778658692436
书,0.049039585769166526,0.43857799944071024
思,0.04636712877902121,0.3035134119081792
笑,0.05383330549523969,0.49764319300562065
旧,0.06517454484716886,0.39663356137810957
路,0.0414564890596292,0.4190642782650772
初,0.04574912310005011,0.45205881149485416
留,0.052814431267746785,0.4688240828491982
吹,0.048789042926340405,0.40134241419978417
坐,0.03682979789544012,0.45228512175696794
红,0.0713378987806915,0.45699905176662897
真,0.04474695172874561,0.4760631266165915
