Name,Val,Emotion
花,0.09748145733148586,0.518903426253844
云,0.121229410413533,0.5694647015790173
春,0.10023785001370787,0.5140696777912158
日,0.1182692521432435,0.5065215392144929
月,0.09728139657229233,0.5346044116411288
山,0.1052875317689076,0.5742680793386081
风,0.1075326580665239,0.5286545208714056
君,0.1040945768714943,0.49806956672461294
天,0.09676272052993873,0.5559965980878993
水,0.0798575863780852,0.5785764163193636
雨,0.08225461065953364,0.5018703876426527
空,0.08817122237123867,0.503627845387176
心,0.08245096658985321,0.5212119280223695
生,0.08008358093939641,0.5316069144871344
老,0.10023414518483391,0.5177993104273042
梦,0.060488741025052056,0.4553788939924957
客,0.07158099867367126,0.4914032877026489
寒,0.07446706036648167,0.4843274160405281
秋,0.05958105795093325,0.5052466919556311
飞,0.06773538630250668,0.5427419097554528
犹,0.07948710349068977,0.4801705387883863
行,0.08365503597388836,0.5308566061616204
夜,0.060522084484917645,0.47476324377959805
莫,0.0675316207144392,0.5737849721588937
新,0.06744270482146429,0.5684816477243676
深,0.06541616342741129,0.5555383484263773
酒,0.07460784386369193,0.5083139130479537
愁,0.05272712453411777,0.36739720523765157
清,0.07411139679458206,0.606276384094569
满,0.053327306811698366,0.5260335620371194
难,0.06261901762757578,0.47845380604754073
声,0.057617498647737464,0.5270055539320689
香,0.05610222363829015,0.5896927108925207
落,0.05046717892100564,0.49460440884879725
家,0.054942612200742445,0.5348187658898861
独,0.05433502026541394,0.5182779049802375
重,0.05585400010373521,0.5401386932813251
树,0.0329470431760757,0.5265169710913002
远,0.054753665928170776,0.5332183621359944
处,0.057180328840610854,0.5504793479940776
问,0.051589742069813795,0.5215521229277373
烟,0.04375032417252647,0.565011713633862
诗,0.06896909431753347,0.5749038852732105
闻,0.056546803103164664,0.4702279503885126
高,0.0524566720263191,0.5712863225776915
雪,0.051389681310620265,0.5221513997572206
醉,0.05829177750279715,0.5304494752357626
道,0.05014856363784557,0.5567820129962345
共,0.04432457264798939,0.5441647493760379
书,0.05493520254299454,0.5006486517736611
思,0.044902525952326265,0.4267575005446999
笑,0.05658385139190421,0.5303460915217543
旧,0.04430234367474566,0.4842767455109907
路,0.040404863699345726,0.5084173653950027
初,0.052975348068672705,0.5280708003508963
留,0.042060922206003305,0.5503658628406229
吹,0.03725946398535852,0.49229342591500297
坐,0.05192688149734364,0.5193193204301715
红,0.038415370594032265,0.5670444206092495
真,0.051900947695225956,0.5934952185416877
